Strategy,Metric,Average,Worst,Best
PPO-SIL,Excess return,0.11750624663885592,-0.026227602869198563,0.2671710749386682
PPO-SIL,Sharpe ratio,3.5070961219274417,-0.6052196072869596,8.269852215342889
PPO-SIL,Portfolio profit,5867.09882890625,-1309.546875,13339.87890625
PPO-SIL,Portfolio standard deviation,0.03209858720841999,0.04488100608362818,0.024617657918521114
Buy-and-hold,Excess return,0.04619355213153326,-0.03225670988423901,0.1442914831343023
Buy-and-hold,Sharpe ratio,2.0796402300041876,-1.129753792610542,6.390788872989202
Buy-and-hold,Portfolio profit,2306.4487127324805,-1610.5807749454543,7204.488292776063
Buy-and-hold,Portfolio standard deviation,0.022095493732424764,0.03267827261322605,0.016314499873683237
